ped,id,father,mother,sex,affected,avail,origin,originB
1,2830,2510,2579,f,NA,,pink,
1,2662,2439,2133,F,NA,,pink,
1,2579,1098,1832,f,NA,,black,
1,2510,1415,1663,m,NA,,black,
1,2439,1098,1832,M,NA,,black,
1,2368,1813,1659,f,NA,,pink,
1,2363,1571,1626,F,NA,,pink,
1,2133,1601,1819,F,NA,,black,
1,1832,1281,1201,F,NA,,black,
1,1819,663,1386,F,NA,,black,
1,1813,770,1136,m,NA,,black,
1,1802,812,1414,F,NA,,pink,
1,1663,770,1297,f,NA,,black,
1,1659,763,1114,f,NA,,black,
1,1626,717,1044,F,NA,,black,
1,1601,780,601,M,NA,,black,
1,1571,732,582,M,NA,,black,
1,1415,928,749,m,NA,,black,
1,1414,1034,956,f,NA,,black,
1,1386,919,604,F,NA,,black,
1,1297,729,728,f,NA,,black,
1,1281,689,523,M,NA,,black,
1,1201,678,671,F,NA,,black,
1,1136,496,604,f,NA,,black,
1,1114,536,588,f,NA,,black,
1,1098,482,564,M,NA,,black,
1,1044,780,749,F,NA,,black,
1,1034,625,605,m,NA,,black,
1,956,377,350,f,NA,,black,
1,928,630,601,m,NA,,black,
1,919,504,565,M,NA,,black,
1,891,625,605,M,NA,,pink,
1,812,236,279,m,NA,,black,
1,780,496,490,M,NA,,black,
1,770,318,319,m,NA,,black,
1,763,282,383,m,NA,,black,
1,749,487,386,F,NA,,black,
1,732,280,566,M,NA,,black,
1,729,468,432,m,NA,,black,
1,728,496,490,f,NA,,black,
1,717,442,206,M,NA,,black,
1,689,0,0,M,NA,1980,green,Kyrgyzstan
1,678,318,319,M,NA,,black,
1,671,377,406,F,NA,,black,
1,663,481,517,M,NA,,black,
1,630,282,383,m,NA,,black,
1,625,428,413,M,NA,,black,
1,605,343,351,F,NA,,black,
1,604,0,0,F,NA,1979,purple,Aksai China
1,601,380,420,F,NA,,black,
1,588,236,279,f,NA,,black,
1,582,343,351,F,NA,,black,
1,566,318,319,F,NA,,black,
1,565,318,319,F,NA,,black,
1,564,318,319,F,NA,,black,
1,536,427,445,m,NA,,black,
1,523,283,293,F,NA,,black,
1,517,236,279,F,NA,,black,
1,504,356,342,M,NA,,black,
1,496,261,291,M,NA,,black,
1,490,280,381,F,NA,,black,
1,487,283,293,M,NA,,black,
1,482,337,206,M,NA,,black,
1,481,337,206,M,NA,,black,
1,468,0,0,m,NA,1975,orange,PRZEWALSK 
1,445,208,269,f,NA,,black,
1,442,337,273,M,NA,,black,
1,432,0,0,f,NA,1974,orange,PRZEWALSK 
1,428,144,169,M,NA,,black,
1,427,318,319,m,NA,,black,
1,420,277,290,F,NA,,black,
1,413,277,291,F,NA,,black,
1,406,0,0,F,NA,1974,green,Kyrgyzstan
1,386,266,189,F,NA,,black,
1,383,238,253,f,NA,,black,
1,381,220,224,F,NA,,black,
1,380,144,169,M,NA,,black,
1,377,208,270,M,NA,,black,
1,356,119,171,M,NA,,black,
1,351,233,213,F,NA,,black,
1,350,0,0,f,NA,1974,red,USSR
1,343,133,191,M,NA,,black,
1,342,208,182,F,NA,,black,
1,337,0,0,M,NA,1971,grey,unknown
1,319,0,0,F,NA,1972,blue,Kazakhstan
1,318,0,0,M,NA,1972,blue,Kazakhstan
1,293,140,172,F,NA,,black,
1,291,119,171,F,NA,,black,
1,290,119,171,F,NA,,black,
1,283,133,191,M,NA,,black,
1,282,133,191,m,NA,,black,
1,280,144,169,M,NA,,black,
1,279,0,0,F,NA,1971,grey,unknown
1,277,0,0,M,NA,1970,grey,unknown
1,273,0,0,F,NA,1969,grey,unknown
1,270,208,182,F,NA,,black,
1,269,208,182,f,NA,,black,
1,266,0,0,M,NA,1968,red,USSR
1,261,0,0,M,NA,1969,grey,unknown
1,253,140,147,f,NA,,black,
1,238,130,131,m,NA,,black,
1,236,0,0,M,NA,1970,grey,unknown
1,233,0,0,M,NA,1968,grey,unknown
1,224,0,0,F,NA,1967,grey,unknown
1,220,140,198,M,NA,,black,
1,213,0,0,F,NA,1967,grey,unknown
1,208,0,0,M,NA,1966,red,USSR
1,206,0,0,F,NA,1966,grey,unknown
1,198,0,0,F,NA,1965,grey,unknown
1,191,0,0,F,NA,1964,red,USSR
1,189,145,146,F,NA,,black,
1,182,0,0,F,NA,1964,red,USSR
1,172,0,0,F,NA,1964,grey,unknown
1,171,0,0,F,NA,1964,grey,unknown
1,169,0,0,F,NA,1963,grey,unknown
1,147,0,0,f,NA,1965,grey,unknown
1,146,0,0,F,NA,1961,grey,unknown
1,145,0,0,M,NA,1961,grey,unknown
1,144,0,0,M,NA,1961,grey,unknown
1,140,85,86,M,NA,,black,
1,133,0,0,M,NA,1960,grey,unknown
1,131,85,86,f,NA,,black,
1,130,85,86,m,NA,,black,
1,119,85,86,M,NA,,black,
1,86,0,0,F,NA,1955,grey,unknown
1,85,0,0,M,NA,1955,grey,unknown
